Element,-2,-1,0,1,2
H,-,-,1,-,-
Li,-,-,1,-,-
Be,-,-,2,1,-
B,3,4,3,2,1
C,2,3,4,3,2
N,1,2,3,4,3
O,-,1,2,"3, 5",4
F,-,-,1,2,"3,5"
Na,-,-,1,-,-
Mg,-,-,2,1,-
Al,"3, 5",4,3,2,1
Si,2,"3, 5",4,3,2
P,"1, 3, 5, 7","2, 4, 6","3, 5",4,3
S,-,"1, 3, 5, 7","2, 4, 6","3, 5",4
Cl,-,-,"1, 3, 5, 7","2, 4, 6","3, 5"
K,-,-,1,-,-
Ca,-,-,2,1,-
Sc,-,-,3,-,-
Ti,-,-,"3, 4",-,-
V,-,-,"2, 3, 4, 5",-,-
Cr,-,-,"2, 3, 6",-,-
Mn,-,-,"2, 3, 4, 6",-,-
Fe,-,-,"2, 3, 4, 6",-,-
Co,-,-,"2, 3",-,-
Ni,-,-,"2, 3",-,-
Cu,-,-,"1, 2",-,-
Zn,-,-,2,-,-
Ga,"3, 5",4,3,-,1
Ge,"2, 4, 6","3, 5",4,3,-
As,"1, 3, 5, 7","2, 4, 6","3, 5",4,3
Se,-,"1, 3, 5, 7","2, 4, 6","3, 5",4
Br,-,-,"1, 3, 5, 7","2, 4, 6","3, 5"
Rb,-,-,1,-,-
Sr,-,-,2,1,-
Y,-,-,3,-,-
Zr,-,-,4,-,-
Nb,-,-,"3, 5",-,-
Mo,-,-,"3, 4, 5, 6",-,-
Tc,-,-,7,-,-
Ru,-,-,"2, 3, 4, 6",-,-
Rh,-,-,"2, 3, 4",-,-
Pd,-,-,"2, 4",-,-
Ag,-,-,1,-,-
Cd,-,-,2,-,-
In,"3, 5","2, 4",3,-,1
Sn,"2, 4, 6","3, 5","2, 4",3,-
Sb,"1, 3, 5, 7","2, 4, 6","3, 5","2, 4",3
Te,-,"1, 3, 5, 7","2, 4, 6","3, 5","2, 4"
I,-,-,"1, 3, 5, 7","2, 4, 6","3, 5"
Cs,-,-,1,-,-
Ba,-,-,2,1,-
La,-,-,3,-,-
Ce,-,-,"3, 4",-,-
Pr,-,-,"3, 4",-,-
Nd,-,-,3,-,-
Pm,-,-,3,-,-
Sm,-,-,"2, 3",-,-
Eu,-,-,"2, 3",-,-
Gd,-,-,3,-,-
Tb,-,-,"3, 4",-,-
Dy,-,-,3,-,-
Ho,-,-,3,-,-
Er,-,-,3,-,-
Tm,-,-,"2, 3",-,-
Yb,-,-,"2, 3",-,-
Lu,-,-,3,-,-
Hf,-,-,4,-,-
Ta,-,-,5,-,-
W,-,-,"3, 4, 5, 6",-,-
Re,-,-,"2, 4, 6, 7",-,-
Os,-,-,"2, 3, 4, 6",-,-
Ir,-,-,"2, 3, 4, 6",-,-
Pt,-,-,"2, 4",-,-
Au,-,-,"1, 3",-,-
Hg,-,-,"1, 2",-,-
Tl,"3, 5","2, 4","1, 3",-,-
Pb,"2, 4, 6","3, 5","2, 4",3,-
Bi,"1, 3, 5, 7","2, 4, 6","3, 5","2, 4",3
Po,-,"1, 3, 5, 7","2, 4, 6","3, 5","2, 4"
At,-,-,"1, 3, 5, 7","2, 4, 6","3, 5"
Fr,-,-,1,-,-
Ra,-,-,2,1,-
Ac,-,-,3,-,-
Th,-,-,"3, 4",-,-
Pa,-,-,"3, 4, 5",-,-
U,-,-,"3, 4, 5, 6",-,-
Np,-,-,"3, 4, 5, 6",-,-
Pu,-,-,"3, 4, 5, 6",-,-
Am,-,-,"3, 4, 5, 6",-,-
Cm,-,-,3,-,-
Bk,-,-,"3, 4",-,-
Cf,-,-,3,-,-
Es,-,-,3,-,-
Fm,-,-,3,-,-
Md,-,-,3,-,-
No,-,-,2,-,-
Lr,-,-,3,-,-
Rf,-,-,4,-,-
Db,-,-,5,-,-
Sg,-,-,6,-,-
Bh,-,-,7,-,-
Hs,-,-,1,-,-
Mt,-,-,1,-,-
Ds,-,-,1,-,-
Rg,-,-,1,-,-
Cn,-,-,1,-,-
